Uid,Organization uid,User uid,Company,Contact uid,Channel uid
B2B:89,2,59,Jorge Powell,151,1
B2B:90,2,60,Janet Hoffman,152,1
B2B:91,2,61,Frankie Beck,153,1
B2B:92,2,62,Cecil  White,154,1
B2B:93,2,63,Ivan Barton,155,1
B2B:94,2,64,Rudolph Mclaughlin,156,1
B2B:95,2,65,Bryan Delgado,157,1
B2B:96,2,66,Colin Woods,158,1
B2B:97,2,67,Gordon Moran,159,1
B2B:98,2,68,Arnold Caldwell,160,1
B2B:99,2,69,Roderick Strickland,161,1
B2B:100,2,70,Jon Floyd,162,1
B2B:101,2,71,James Moreno,163,1
B2B:102,2,72,Camille Gutierrez,164,1
B2B:103,2,73,Alison White,165,1
B2B:104,2,74,Gwendolyn Howell,166,1
B2B:105,2,75,Kristen Riley,167,1
B2B:106,2,76,Susie Perry,168,1
B2B:107,2,77,Melanie Williamson,169,1
B2B:108,2,78,Pauline Watkins,170,1
B2B:109,2,79,Angie Mccarthy,171,1
B2B:110,2,80,Amber Gibbs,172,1
B2B:111,2,81,Kelley Brewer,173,1
B2B:112,2,82,Roberta Griffin,174,1
B2B:113,2,83,Lynette Fernandez,175,1
B2B:114,2,84,Alice Love,176,1
B2B:115,2,85,Hattie Andrews,177,1
B2B:116,2,86,Leigh Warner,178,1
B2B:117,2,87,Lois Silva,179,1
B2B:118,2,88,Estelle Valdez,180,1
B2B:119,2,89,Jaime Kennedy,181,1
B2B:120,2,90,Viola Mccoy,182,1
B2B:121,2,main,Shannon Pena,183,1
B2B:122,2,main,Martha Jimenez,184,1
B2B:123,2,main,Marie Erickson,185,1
B2B:124,2,54,Anne Castro,186,1
B2B:125,2,55,Pearl Terry,187,1
B2B:126,2,56,Elizabeth Kelley,188,1
B2B:127,2,57,Juanita Robinson,189,1
