Uid,Owner uid,FirstName,Lastname,Email,Address uid,PhoneNumber,CompanyName,Status name,Lead Source uid,Channel uid,Customer uid
39,main,Deborah,Williams,DeborahPWilliams@superrito.com,39,518-348-5353,Allied City Stores,new,,,39
40,main,Rodrigo,Deluca,RodrigoWDeluca@teleworm.us,40,248-664-3142,Gamma Grays,new,,,40
41,main,Jerome,Perry,JeromeAPerry@superrito.com,41,509-967-5559,Electronic Geek,new,,,1
42,main,Hayley,Meaney,HayleyLMeaney@teleworm.us,42,417-938-3029,De-Jaiz Mens Clothing,new,,,2
43,main,Dorothy,Moore,DorothyMMoore@cuvox.de,43,818-646-6121,The Royal Canadian Pancake Houses,new,,,3
44,main,Tracy,Goodlow,TracyGGoodlow@cuvox.de,44,701-240-4787,Balanced Fortune,new,,,4
45,main,Donna,Sanders,DonnaASanders@superrito.com,45,317-722-4218,Strong Life,new,,,5
46,main,Richard,Alderson,RichardSAlderson@dayrep.com,46,937-455-2486,Simply Save,new,,,6
47,main,Bob,Baker,BobEBaker@dayrep.com,47,731-415-7808,Wealth Zone Group,new,,,7
48,main,Deborah,Archambault,DeborahJArchambault@einrot.com,48,425-675-2248,Carter's Foods,new,,,8
49,main,Todd,Sears,ToddSSears@einrot.com,49,480-726-7173,Peter Reeves,new,,,9
50,main,Emma,Zellers,EmmaWZellers@dayrep.com,50,917-541-1762,Dick Fischers,new,,,10
51,main,Claudia,Howard,ClaudiaJHoward@cuvox.de,,217-417-9298,Team Designers and Associates,new,,,11
52,main,Ruth,Chavez,RuthJChavez@einrot.com,,586-755-0517,Mr. AG's,new,,,12
53,main,John,Watkins,JohnSWatkins@gustr.com,,419-468-8316,Pak and Save,new,,,13
54,main,Steven,Riding,StevenIRiding@gustr.com,,517-927-8422,Millenia Life,new,,,14
55,main,Ronald,Velazquez,RonaldBVelazquez@superrito.com,,906-406-2616,Integra Investment Service,new,,,15
56,main,Terese,Beverly,TereseBBeverly@dayrep.com,,419-832-3233,Idea Infinity,new,,,16
57,main,Richard,Lydon,RichardRLydon@dayrep.com,,330-768-4737,Cougar Investment,new,,,17
58,main,Micheal,Mercado,MichealJMercado@armyspy.com,,281-623-5140,Perisolution,new,,,18
59,1001,Peter,Gonzalez,PeterTGonzalez@dayrep.com,,305-459-6683,Modern Architecture Design,new,,,19
60,1001,Jimmy,Griffin,JimmyAGriffin@gustr.com,,443-507-6224,Grey Fade,new,,,20
61,1001,Marion,Johnson,MarionLJohnson@armyspy.com,,615-535-9149,Dream Home Real Estate Service,new,,,21
62,1001,Billie,Goodyear,BillieMGoodyear@einrot.com,,715-592-4801,Signa Air,new,,,22
63,1001,Hubert,Gay,HubertLGay@superrito.com,,229-505-3624,Albers Super Markets,new,,,23
64,1001,Randy,Collins,RandyACollins@gustr.com,,513-200-0509,Shoe Town,new,,,24
65,1001,Sean,Waterfield,SeanMWaterfield@cuvox.de,,520-483-6772,Pantry Pride,new,,,25
66,1001,James,Little,JamesALittle@armyspy.com,,919-688-1425,Maurice The Pants Man,new,,,26
67,1001,Jack,Holbrook,JackNHolbrook@dayrep.com,,708-614-8639,The Goose and Duck,new,,,27
68,1001,Martin,Markham,MartinRMarkham@gustr.com,,505-979-1343,Consumers Food and Drug,new,,,28
69,1001,Douglas,Andersen,DouglasVAndersen@einrot.com,,408-561-6870,Network Air,new,,,29
70,1001,Henry,Ellard,HenryMEllard@teleworm.us,,786-351-6268,Kleinhans,new,,,30
71,1001,Paul,Clapp,PaulKClapp@armyspy.com,,209-817-1435,Matrix Architectural Service ,new,,,31
72,1001,Jessica,Jeffrey,JessicaJJeffrey@teleworm.us,,409-971-7396,Kragen Auto Parts,new,,,32
73,1001,Herbert,Zelaya,HerbertHZelaya@cuvox.de,,678-578-0870,Pro Star,new,,,33
74,2001,Suzanne,Stiles,SuzanneJStiles@superrito.com,,401-828-2067,Omni Superstore,new,,,34
75,2001,Daniel,Peres,DanielTPeres@superrito.com,,813-425-5248,Budget Power,new,,,35
76,2001,Eileen,Dyson,EileenKDyson@teleworm.us,,818-876-3647,Zantigo,new,,,36
77,2001,Doris,Bilodeau,DorisSBilodeau@armyspy.com,,508-420-7533,Hanover Shoe,new,,,37
78,2001,Michael,Straka,MichaelLStraka@gustr.com,,940-391-8042,Stratacard,new,,,38
79,2001,Grace,Ruis,GraceJRuis@armyspy.com,,307-868-1270,Asian Plan,new,,,39
80,2001,Shawn,Bryson,ShawnLBryson@gustr.com,,630-242-4645,Matrix Interior Design,qualified,,,40
81,2001,Theodore,Knight,TheodoreBKnight@armyspy.com,,913-644-7299,Realty Depot,qualified,,,1
82,2001,Dee,Wright,DeeRWright@armyspy.com,,208-674-6632,Lawn N' Order Garden Care,qualified,,,2
83,2001,Jay,Key,JayEKey@einrot.com,,661-695-4146,On Cue,qualified,,,3
84,2001,Maurice,Sherman,MauriceCSherman@cuvox.de,,919-410-4924,Anderson-Little,qualified,,,4
85,2001,Ema,Bade,EmaIBade@einrot.com,,815-399-3013,Buckeye Furniture,qualified,,,5
86,2001,Margie,Rupe,MargieGRupe@superrito.com,,660-675-0640,Simple Solutions,qualified,,,6
87,2001,David,Dimas,DavidADimas@armyspy.com,,305-710-3927,Mervyn's,qualified,,,7
88,2001,Sidney,Price,SidneyMPrice@armyspy.com,,202-829-9187,DGS HomeSource,qualified,,,8
89,2001,Elease,Moore,EleaseJMoore@gustr.com,,605-694-4291,HomeBase,qualified,,,9
90,2001,Karen,Sprague,KarenDSprague@dayrep.com,,859-881-5712,Sound Advice,canceled,,,10
91,2001,James,Adams,JamesGAdams@gustr.com,,215-800-7828,Lionel Playworld,canceled,,,11
92,2001,Ruby,Scott,RubyRScott@dayrep.com,,760-928-5373,Magna Architectural Design,canceled,,,12
93,2001,John,Lee,JohnDLee@gustr.com,,772-425-8759,Shabby Chic,canceled,,,13
94,2001,Jeffrey,Maynard,JeffreyBMaynard@gustr.com,,910-827-9945,Cal Stereo,canceled,,,14
95,2001,Brenda,Bradley,BrendaRBradley@superrito.com,,810-664-5574,Pleasures and Pasttimes,canceled,,,15
96,2001,Alexander,Redmond,AlexanderDRedmond@armyspy.com,,914-310-3462,Practi-Plan,canceled,,,16
97,2001,Ryan,Banks,RyanJBanks@gustr.com,,912-554-2528,Price Savers,canceled,,,17
98,2001,Rita,Sams,RitaPSams@superrito.com,,952-808-3280,Family Toy,canceled,,,18
99,2001,Jennifer,Bowman,JenniferHBowman@einrot.com,,843-477-4776,Stop N Shop,canceled,,,19
100,2001,William,Kerr,WilliamBKerr@armyspy.com,,510-761-0833,Magna Gases,canceled,,,20
